OldId,NewId,SynId
265853,1342,
265851,1343,
364549,1344,
133288,1345,
311794,1346,
337893,1347,
246034,1348,349227
105584,1349,
72392,1350,
158243,1351,
121513,1352,
158240,1353,158243
119184,1354,
119194,1355,
103211,1356,
180350,1357,
170165,1358,
173181,1359,
328264,1360,317643
344411,1361,
353393,1362,
42417,1363,
293216,1364,
165835,1365,
282380,1366,
282382,1367,
306459,1368,282382
300464,1369,
327387,1370,
234457,1371,
173211,1372,
317641,1373,317702
302856,1374,344174
320649,1375,320650
320672,1376,320673
57110,1377,
173251,1378,
286395,1379,
271073,1380,
249104,1381,
376631,1382,
372394,1383,
197449,1384,
177686,1385,
198347,1386,
338038,1387,
385613,1388,
383286,1389,
216939,1390,
351579,1391,143510
58097,1392,
327685,1393,327273
62200,1394,
238015,1395,
290580,1396,
230672,1397,
121477,1398,
180927,1399,
248700,1400,
372410,1401,372411
372406,1402,372407
345425,1403,
167347,1404,167348
192096,1405,317712
146132,1406,177894
350950,1407,
352660,1408,352682
352662,1409,308905
352671,1410,350617
352674,1411,350618
327273,1412,
184671,1413,
307078,1414,
331220,1415,374212
353523,1416,
298716,1417,
59748,1418,
48350,1419,
249103,1420,
94897,1421,
134654,1422,
213089,1423,
372420,1424,
514203,1425,
77084,1426,514203
239039,1427,
109314,1428,
350873,1429,109314
337651,1430,
271087,1431,
306767,1432,
248790,1433,
229267,1434,
504876,1435,
352978,1436,
143510,1437,
170170,1438,
308032,1439,
65181,1440,
72627,1441,
173443,1442,
310326,1443,310327
248734,1444,258279
243512,1445,239696
248735,1446,254479
360370,1447,
331211,1448,344174
309299,1449,
250816,1450,258279
306535,1451,
344410,1452,
58707,1453,
365009,1454,365008
349584,1455,350617
349575,1456,350618
366101,1457,365002
372439,1458,365002
78663,1459,
375279,1460,
360360,1461,
523911,1462,360360
183092,1463,
143260,1464,
50875,1465,
85704,1466,
290581,1467,
345427,1468,
173520,1469,
248738,1470,
269361,1471,
136691,1472,
178229,1473,
293217,1474,
241159,1475,
338043,1476,
67744,1477,
255376,1478,
234128,1479,
306441,1480,
173581,1481,
170174,1482,
368345,1483,
253430,1484,
372453,1485,253430
307639,1486,
333804,1487,
234213,1488,
197486,1489,
275878,1490,
213116,1491,
353659,1492,
104188,1493,
207790,1494,
325092,1495,
173632,1496,
79193,1497,
173646,1498,
317643,1499,
342453,1500,344410
317644,1501,327273
342447,1502,344411
52228,1503,
80212,1504,
345432,1505,
241929,1506,
233085,1507,
173665,1508,
43496,1509,
43497,1510,
309407,1511,
94984,1512,
241485,1513,254479
190681,1514,
297245,1515,
170175,1516,
253431,1517,
372466,1518,253431
56240,1519,
44906,1520,
263317,1521,
96897,1522,
325093,1523,
184661,1524,
315726,1525,269361
248757,1526,
116445,1527,
369039,1528,
352979,1529,
273375,1530,
47748,1531,
114204,1532,
62628,1533,
104132,1534,
209192,1535,
274820,1536,
345575,1537,
173792,1538,345575
271354,1539,
209193,1540,
127396,1541,
372494,1542,
76337,1543,
241928,1544,
353787,1545,
70521,1546,
197497,1547,
173834,1548,
158048,1549,
84042,1550,
43686,1551,
352782,1552,
208248,1553,
338053,1554,
68772,1555,
226987,1556,
309435,1557,
152615,1558,
368348,1559,
317092,1560,
317093,1561,
208249,1562,
173994,1563,208249
233734,1564,
197504,1565,
289126,1566,282401
99455,1567,
369047,1568,338059
338059,1569,
360890,1570,
370876,1571,
344175,1572,
99606,1573,
231305,1574,
56242,1575,
170180,1576,
379027,1577,
307080,1578,
65564,1579,
281785,1580,
309492,1581,
113833,1582,
360899,1583,
327261,1584,
177502,1585,
282401,1586,
372411,1587,
372407,1588,
167348,1589,
317702,1590,
177894,1591,
374214,1592,
255615,1593,
317712,1594,
370119,1595,367712
367712,1596,
374212,1597,
101753,1598,
352682,1599,
335803,1600,
308905,1601,
342459,1602,
306600,1603,
335124,1604,
176784,1605,
310327,1606,
365008,1607,
350617,1608,
350618,1609,
365002,1610,
504401,1611,365008
503787,1612,350618
258279,1613,
239696,1614,
254479,1615,
320650,1616,
320673,1617,
94183,1618,114204
367710,1619,
344174,1620,
61336,1621,84042
181404,1622,
20718,1623,
524193,1624,
128885,1625,524193
130555,1626,524193
42495,1627,524193
5355,1628,
142927,1629,
303162,1630,
303164,1631,
246937,1632,
342102,1633,
307220,1634,
119325,1635,
107428,1636,
534869,1637,
343709,1638,
343703,1639,
199438,1640,
307222,1641,
342106,1642,
246943,1643,
241838,1644,
343705,1645,
139299,1646,
328308,1647,
199442,1648,
142929,1649,
303168,1650,
142930,1651,
107442,1652,
198020,1653,
303174,1654,
107446,1655,
246951,1656,
219223,1657,
296470,1658,
343715,1659,
219151,1660,
246952,1661,370628
342105,1662,
246954,1663,
370630,1664,
307223,1665,
246724,1666,
241840,1667,
245986,1668,
370628,1669,
163929,1670,
158355,1671,
177563,1672,194176
101304,1673,
25789,1674,25953
325172,1675,139227
59104,1676,25953
74520,1677,5399
140524,1678,82456
5399,1679,
311053,1680,5399
194176,1681,
115985,1682,122757
31239,1683,122786
105276,1684,122616
85047,1685,123903
105280,1686,122619
111293,1687,122719
97096,1688,124022
73993,1689,123623
59408,1690,123260
102025,1691,122514
44655,1692,122872
243818,1693,
368676,1694,
352710,1695,
367721,1696,
367722,1697,
317645,1698,
202008,1699,
338949,1700,
380422,1701,
380424,1702,
326825,1703,327162
276168,1704,529203
230598,1705,230599
230600,1706,230601
214393,1707,193296
175111,1708,169362
229778,1709,202629
298599,1710,249818
298600,1711,249797
335305,1712,
360314,1713,
310472,1714,529203
193296,1715,
230599,1716,
327162,1717,
529203,1718,
230601,1719,
511934,1720,
196425,1721,
248972,1722,
511937,1723,
169362,1724,
202629,1725,
249818,1726,
249797,1727,
359108,1728,380422
359109,1729,380424
310845,1730,202629
500209,1731,5758
31753,1732,5758
5758,1733,
228300,1734,111393
376603,1735,
111393,1736,
117081,1737,111393
536850,1738,536908
537075,1739,537012
537064,1740,537014
536876,1741,
536870,1742,
536922,1743,
537014,1744,
536908,1745,
537012,1746,
105507,1747,
5889,1748,105507
